phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.61,0.00,11.60,11.61,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,6060.72,92.68,5995.19,6126.25,2
sparse_codes_train,5.29,0.19,5.16,5.42,2
sparse_codes_val,3.64,0.01,3.64,3.65,2
sparse_codes_test,3.63,0.00,3.63,3.64,2
val_logreg,0.71,0.02,0.69,0.73,2
val_gboost,231.69,1.04,230.96,232.43,2
val_svm,80.19,5.27,76.47,83.91,2
val_rf,7.96,0.13,7.88,8.05,2
test_logreg,0.71,0.02,0.69,0.72,2
test_gboost,231.19,0.44,230.88,231.50,2
test_svm,76.30,0.81,75.72,76.88,2
test_rf,7.94,0.08,7.88,8.00,2
src_embeddings,3.10,0.01,3.09,3.11,2
src_pure,2.72,0.03,2.70,2.75,2
src_fddl,2.81,0.02,2.80,2.82,2
seed_total,6730.28,99.02,6660.26,6800.30,2
