phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,22.90,4.12,16.48,27.38,5
partition,0.10,0.02,0.07,0.13,5
fit_encoder_dict,2208.09,64.22,2166.15,2320.39,5
sparse_codes_train,89.63,0.60,88.82,90.34,5
sparse_codes_val,68.88,3.62,66.91,75.32,5
sparse_codes_test,68.57,3.06,66.06,73.17,5
val_logreg,0.32,0.02,0.30,0.35,5
val_gboost,13.57,0.16,13.40,13.78,5
val_svm,0.94,0.04,0.90,1.01,5
val_rf,5.76,0.12,5.64,5.89,5
test_logreg,0.33,0.02,0.30,0.36,5
test_gboost,13.51,0.18,13.21,13.66,5
test_svm,0.93,0.03,0.90,0.97,5
test_rf,5.78,0.17,5.59,5.96,5
seed_total,2499.33,60.45,2452.57,2600.95,5
