phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.55,0.07,11.51,11.60,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,672.09,25.52,654.04,690.13,2
sparse_codes_train,4.40,0.04,4.37,4.43,2
sparse_codes_val,2.93,0.06,2.88,2.97,2
sparse_codes_test,2.94,0.04,2.90,2.97,2
val_logreg,0.13,0.00,0.13,0.13,2
val_gboost,57.55,0.10,57.48,57.62,2
val_svm,4.51,0.47,4.18,4.84,2
val_rf,3.65,0.09,3.59,3.71,2
test_logreg,0.12,0.00,0.12,0.13,2
test_gboost,57.56,0.00,57.56,57.57,2
test_svm,4.52,0.48,4.18,4.86,2
test_rf,3.67,0.10,3.60,3.74,2
src_embeddings,3.11,0.05,3.07,3.14,2
src_pure,1.46,0.04,1.43,1.48,2
src_fddl,1.34,0.00,1.33,1.34,2
seed_total,831.58,26.32,812.97,850.19,2
