phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.83,0.03,11.80,11.85,2
partition,0.03,0.00,0.03,0.03,2
fit_encoder_dict,919.83,2.71,917.91,921.74,2
sparse_codes_train,67.16,0.36,66.90,67.41,2
sparse_codes_val,49.64,0.97,48.95,50.33,2
sparse_codes_test,50.29,0.28,50.10,50.49,2
val_logreg,0.04,0.00,0.04,0.04,2
val_gboost,6.16,0.19,6.03,6.30,2
val_svm,0.17,0.00,0.17,0.17,2
val_rf,1.40,0.05,1.36,1.43,2
test_logreg,0.03,0.00,0.03,0.03,2
test_gboost,6.16,0.17,6.04,6.28,2
test_svm,0.18,0.00,0.17,0.18,2
test_rf,1.38,0.03,1.36,1.40,2
seed_total,1115.44,4.25,1112.44,1118.44,2
