metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.5561,0.0162,0.0116,10
LogisticRegression/Macro-Recall,0.5930,0.0189,0.0135,10
LogisticRegression/Macro-F1,0.5628,0.0179,0.0128,10
LogisticRegression/Macro-PR-AUC,0.5501,0.0110,0.0079,10
LogisticRegression/Accuracy,0.8769,0.0301,0.0215,10
LogisticRegression/ROC-AUC,0.6683,0.0264,0.0189,10
LogisticRegression/MCC,0.1427,0.0276,0.0197,10
LogisticRegression/Minority-Precision,0.1547,0.0325,0.0233,10
LogisticRegression/Minority-Recall,0.2754,0.0618,0.0442,10
LogisticRegression/Minority-F1,0.1926,0.0257,0.0184,10
LogisticRegression/Minority-PR-AUC,0.1311,0.0184,0.0132,10
GradientBoosting/Macro-Precision,0.6280,0.0293,0.0210,10
GradientBoosting/Macro-Recall,0.6263,0.0254,0.0182,10
GradientBoosting/Macro-F1,0.6239,0.0197,0.0141,10
GradientBoosting/Macro-PR-AUC,0.5973,0.0179,0.0128,10
GradientBoosting/Accuracy,0.9234,0.0127,0.0091,10
GradientBoosting/ROC-AUC,0.7426,0.0252,0.0180,10
GradientBoosting/MCC,0.2518,0.0395,0.0283,10
GradientBoosting/Minority-Precision,0.2955,0.0587,0.0420,10
GradientBoosting/Minority-Recall,0.2941,0.0615,0.0440,10
GradientBoosting/Minority-F1,0.2883,0.0372,0.0266,10
GradientBoosting/Minority-PR-AUC,0.2179,0.0333,0.0239,10
LinearSVM/Macro-Precision,0.5595,0.0236,0.0169,10
LinearSVM/Macro-Recall,0.5770,0.0213,0.0153,10
LinearSVM/Macro-F1,0.5581,0.0179,0.0128,10
LinearSVM/Macro-PR-AUC,0.5473,0.0109,0.0078,10
LinearSVM/Accuracy,0.8876,0.0357,0.0255,10
LinearSVM/ROC-AUC,0.6625,0.0282,0.0201,10
LinearSVM/MCC,0.1306,0.0268,0.0192,10
LinearSVM/Minority-Precision,0.1634,0.0484,0.0346,10
LinearSVM/Minority-Recall,0.2296,0.0754,0.0540,10
LinearSVM/Minority-F1,0.1770,0.0289,0.0207,10
LinearSVM/Minority-PR-AUC,0.1264,0.0180,0.0128,10
RandomForest/Macro-Precision,0.7044,0.0252,0.0180,10
RandomForest/Macro-Recall,0.7001,0.0304,0.0217,10
RandomForest/Macro-F1,0.7002,0.0209,0.0150,10
RandomForest/Macro-PR-AUC,0.6714,0.0291,0.0208,10
RandomForest/Accuracy,0.9403,0.0058,0.0041,10
RandomForest/ROC-AUC,0.8087,0.0169,0.0121,10
RandomForest/MCC,0.4027,0.0411,0.0294,10
RandomForest/Minority-Precision,0.4404,0.0505,0.0361,10
RandomForest/Minority-Recall,0.4314,0.0660,0.0472,10
RandomForest/Minority-F1,0.4319,0.0408,0.0292,10
RandomForest/Minority-PR-AUC,0.3606,0.0575,0.0412,10
SRC_pure/Macro-Precision,nan,nan,nan,10
SRC_pure/Macro-Recall,nan,nan,nan,10
SRC_pure/Macro-F1,nan,nan,nan,10
SRC_pure/Macro-PR-AUC,nan,nan,nan,10
SRC_pure/Accuracy,nan,nan,nan,10
SRC_pure/ROC-AUC,nan,nan,nan,10
SRC_pure/MCC,nan,nan,nan,10
SRC_pure/Minority-Precision,nan,nan,nan,10
SRC_pure/Minority-Recall,nan,nan,nan,10
SRC_pure/Minority-F1,nan,nan,nan,10
SRC_pure/Minority-PR-AUC,nan,nan,nan,10
SRC_fddl/Macro-Precision,nan,nan,nan,10
SRC_fddl/Macro-Recall,nan,nan,nan,10
SRC_fddl/Macro-F1,nan,nan,nan,10
SRC_fddl/Macro-PR-AUC,nan,nan,nan,10
SRC_fddl/Accuracy,nan,nan,nan,10
SRC_fddl/ROC-AUC,nan,nan,nan,10
SRC_fddl/MCC,nan,nan,nan,10
SRC_fddl/Minority-Precision,nan,nan,nan,10
SRC_fddl/Minority-Recall,nan,nan,nan,10
SRC_fddl/Minority-F1,nan,nan,nan,10
SRC_fddl/Minority-PR-AUC,nan,nan,nan,10
