phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.72,0.23,11.56,11.89,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,29.69,0.94,29.02,30.35,2
sparse_codes_train,4.22,0.20,4.08,4.37,2
sparse_codes_val,2.78,0.07,2.73,2.82,2
sparse_codes_test,2.87,0.05,2.84,2.90,2
val_logreg,0.04,0.00,0.04,0.04,2
val_gboost,2.39,0.04,2.36,2.42,2
val_svm,0.12,0.00,0.12,0.12,2
val_rf,0.75,0.01,0.74,0.76,2
test_logreg,0.03,0.00,0.03,0.03,2
test_gboost,2.39,0.05,2.35,2.42,2
test_svm,0.12,0.00,0.12,0.12,2
test_rf,0.75,0.01,0.74,0.76,2
src_embeddings,3.14,0.10,3.07,3.21,2
src_pure,0.37,0.07,0.32,0.42,2
src_fddl,0.21,0.00,0.20,0.21,2
seed_total,61.63,0.89,61.01,62.26,2
