master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
39,11.558,0.038,30.353,4.365,2.824,2.836,0.036,2.364,0.116,0.757,0.031,2.354,0.115,0.757,3.213,0.322,0.203,62.262
30,11.887,0.036,29.024,4.076,2.727,2.903,0.036,2.423,0.118,0.742,0.032,2.422,0.116,0.743,3.070,0.423,0.209,61.006
