metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6189,0.0048,0.0428,2
LogisticRegression/Macro-Recall,0.6507,0.0327,0.2936,2
LogisticRegression/Macro-F1,0.6309,0.0085,0.0767,2
LogisticRegression/Macro-PR-AUC,0.5932,0.0037,0.0336,2
LogisticRegression/Accuracy,0.9249,0.0092,0.0826,2
LogisticRegression/ROC-AUC,0.8058,0.0039,0.0351,2
LogisticRegression/MCC,0.2666,0.0238,0.2135,2
LogisticRegression/Minority-Precision,0.2703,0.0129,0.1157,2
LogisticRegression/Minority-Recall,0.3481,0.0789,0.7086,2
LogisticRegression/Minority-F1,0.3015,0.0223,0.2002,2
LogisticRegression/Minority-PR-AUC,0.2003,0.0079,0.0709,2
GradientBoosting/Macro-Precision,0.6764,0.0035,0.0318,2
GradientBoosting/Macro-Recall,0.6727,0.0291,0.2612,2
GradientBoosting/Macro-F1,0.6739,0.0167,0.1499,2
GradientBoosting/Macro-PR-AUC,0.6600,0.0104,0.0933,2
GradientBoosting/Accuracy,0.9424,0.0013,0.0115,2
GradientBoosting/ROC-AUC,0.8273,0.0194,0.1741,2
GradientBoosting/MCC,0.3486,0.0329,0.2958,2
GradientBoosting/Minority-Precision,0.3835,0.0042,0.0381,2
GradientBoosting/Minority-Recall,0.3750,0.0626,0.5620,2
GradientBoosting/Minority-F1,0.3781,0.0342,0.3069,2
GradientBoosting/Minority-PR-AUC,0.3344,0.0189,0.1697,2
LinearSVM/Macro-Precision,0.6213,0.0185,0.1663,2
LinearSVM/Macro-Recall,0.6514,0.0692,0.6217,2
LinearSVM/Macro-F1,0.6257,0.0140,0.1262,2
LinearSVM/Macro-PR-AUC,0.5990,0.0026,0.0232,2
LinearSVM/Accuracy,0.9228,0.0234,0.2098,2
LinearSVM/ROC-AUC,0.8105,0.0039,0.0351,2
LinearSVM/MCC,0.2646,0.0422,0.3796,2
LinearSVM/Minority-Precision,0.2748,0.0442,0.3974,2
LinearSVM/Minority-Recall,0.3519,0.1713,1.5394,2
LinearSVM/Minority-F1,0.2924,0.0413,0.3711,2
LinearSVM/Minority-PR-AUC,0.2122,0.0056,0.0506,2
RandomForest/Macro-Precision,0.6730,0.0014,0.0125,2
RandomForest/Macro-Recall,0.7099,0.0319,0.2870,2
RandomForest/Macro-F1,0.6885,0.0116,0.1039,2
RandomForest/Macro-PR-AUC,0.6744,0.0002,0.0015,2
RandomForest/Accuracy,0.9384,0.0032,0.0287,2
RandomForest/ROC-AUC,0.8419,0.0026,0.0235,2
RandomForest/MCC,0.3805,0.0275,0.2472,2
RandomForest/Minority-Precision,0.3730,0.0060,0.0541,2
RandomForest/Minority-Recall,0.4577,0.0707,0.6353,2
RandomForest/Minority-F1,0.4095,0.0250,0.2244,2
RandomForest/Minority-PR-AUC,0.3617,0.0007,0.0065,2
SRC_pure/Macro-Precision,0.5035,0.0111,0.0996,2
SRC_pure/Macro-Recall,0.5019,0.0064,0.0579,2
SRC_pure/Macro-F1,0.5011,0.0079,0.0710,2
SRC_pure/Macro-PR-AUC,0.5025,0.0011,0.0101,2
SRC_pure/Accuracy,0.9288,0.0024,0.0218,2
SRC_pure/ROC-AUC,0.4954,0.0154,0.1385,2
SRC_pure/MCC,0.0051,0.0169,0.1518,2
SRC_pure/Minority-Precision,0.0537,0.0216,0.1938,2
SRC_pure/Minority-Recall,0.0308,0.0109,0.0977,2
SRC_pure/Minority-F1,0.0391,0.0145,0.1305,2
SRC_pure/Minority-PR-AUC,0.0521,0.0012,0.0108,2
SRC_fddl/Macro-Precision,0.5338,0.0207,0.1860,2
SRC_fddl/Macro-Recall,0.5070,0.0035,0.0317,2
SRC_fddl/Macro-F1,0.5051,0.0054,0.0486,2
SRC_fddl/Macro-PR-AUC,0.5044,0.0015,0.0135,2
SRC_fddl/Accuracy,0.9455,0.0018,0.0161,2
SRC_fddl/ROC-AUC,0.5037,0.0157,0.1406,2
SRC_fddl/MCC,0.0307,0.0172,0.1543,2
SRC_fddl/Minority-Precision,0.1138,0.0411,0.3692,2
SRC_fddl/Minority-Recall,0.0231,0.0054,0.0489,2
SRC_fddl/Minority-F1,0.0383,0.0099,0.0887,2
SRC_fddl/Minority-PR-AUC,0.0550,0.0012,0.0106,2
