phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,8.57,0.00,8.56,8.57,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,119.55,0.43,119.24,119.85,2
sparse_codes_train,41.07,1.30,40.16,41.99,2
sparse_codes_val,31.42,0.30,31.21,31.63,2
sparse_codes_test,31.09,0.22,30.93,31.24,2
val_logreg,0.56,0.13,0.47,0.65,2
val_gboost,13.98,0.02,13.96,13.99,2
val_svm,0.63,0.04,0.60,0.66,2
val_rf,2.03,0.03,2.01,2.06,2
test_logreg,0.54,0.15,0.43,0.65,2
test_gboost,13.99,0.01,13.99,14.00,2
test_svm,0.64,0.02,0.62,0.65,2
test_rf,2.03,0.03,2.01,2.05,2
src_embeddings,30.69,0.43,30.38,30.99,2
src_pure,0.11,0.00,0.11,0.11,2
src_fddl,0.12,0.00,0.12,0.12,2
seed_total,297.18,1.21,296.32,298.03,2
