phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,8.52,0.10,8.44,8.59,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,274.78,2.30,273.15,276.40,2
sparse_codes_train,3.05,0.10,2.98,3.12,2
sparse_codes_val,2.03,0.07,1.99,2.08,2
sparse_codes_test,2.06,0.03,2.04,2.08,2
val_logreg,1.56,0.00,1.55,1.56,2
val_gboost,27.91,0.17,27.79,28.03,2
val_svm,1.83,0.05,1.80,1.87,2
val_rf,2.57,0.05,2.54,2.60,2
test_logreg,1.71,0.17,1.58,1.83,2
test_gboost,28.09,0.07,28.04,28.14,2
test_svm,1.79,0.04,1.76,1.82,2
test_rf,2.54,0.00,2.54,2.54,2
src_embeddings,2.38,0.05,2.34,2.41,2
src_pure,0.32,0.01,0.31,0.33,2
src_fddl,0.37,0.00,0.37,0.37,2
seed_total,361.66,2.28,360.06,363.27,2
