master_seed,data_load,partition,fit_wl_fddl,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
39,11.606,0.035,137.576,4.373,2.898,3.061,0.051,9.335,0.447,1.288,0.049,9.168,0.445,1.280,3.226,1.219,1.028,187.128
67,11.484,0.033,132.853,4.379,2.786,2.790,0.056,9.560,0.439,1.246,0.051,9.571,0.439,1.253,3.151,1.233,1.081,182.423
25,11.522,0.033,132.650,3.687,3.146,2.961,0.048,9.311,0.456,1.238,0.045,9.365,0.454,1.254,3.102,0.504,0.427,180.222
74,11.476,0.035,134.427,3.837,3.194,2.947,0.056,9.315,0.438,1.285,0.051,9.308,0.434,1.236,3.135,1.096,1.049,183.336
62,11.592,0.036,132.614,3.726,3.169,2.915,0.051,9.318,0.445,1.243,0.048,9.317,0.439,1.239,3.080,0.538,0.417,180.206
