phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.54,0.06,11.48,11.61,5
partition,0.03,0.00,0.03,0.04,5
fit_wl_fddl,134.02,2.12,132.61,137.58,5
sparse_codes_train,4.00,0.35,3.69,4.38,5
sparse_codes_val,3.04,0.18,2.79,3.19,5
sparse_codes_test,2.93,0.10,2.79,3.06,5
val_logreg,0.05,0.00,0.05,0.06,5
val_gboost,9.37,0.11,9.31,9.56,5
val_svm,0.45,0.01,0.44,0.46,5
val_rf,1.26,0.02,1.24,1.29,5
test_logreg,0.05,0.00,0.04,0.05,5
test_gboost,9.35,0.15,9.17,9.57,5
test_svm,0.44,0.01,0.43,0.45,5
test_rf,1.25,0.02,1.24,1.28,5
src_embeddings,3.14,0.06,3.08,3.23,5
src_pure,0.92,0.37,0.50,1.23,5
src_fddl,0.80,0.35,0.42,1.08,5
seed_total,182.66,2.85,180.21,187.13,5
