phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.43,0.11,11.30,11.58,5
partition,0.03,0.00,0.03,0.04,5
fit_wl_fddl,274.77,4.65,271.34,282.84,5
sparse_codes_train,3.97,0.21,3.75,4.21,5
sparse_codes_val,3.10,0.19,2.77,3.21,5
sparse_codes_test,2.84,0.07,2.80,2.96,5
val_logreg,0.07,0.01,0.06,0.08,5
val_gboost,19.02,0.15,18.78,19.17,5
val_svm,0.87,0.02,0.85,0.90,5
val_rf,1.77,0.05,1.70,1.84,5
test_logreg,0.06,0.00,0.06,0.06,5
test_gboost,19.03,0.16,18.80,19.24,5
test_svm,0.87,0.02,0.85,0.90,5
test_rf,1.78,0.03,1.73,1.81,5
src_embeddings,3.09,0.03,3.05,3.12,5
src_pure,1.21,0.05,1.13,1.25,5
src_fddl,1.13,0.03,1.10,1.16,5
seed_total,345.05,4.71,340.92,352.92,5
