master_seed,data_load,partition,fit_wl_fddl,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
71,11.492,0.036,273.193,4.212,3.195,2.960,0.061,19.124,0.899,1.790,0.057,19.109,0.900,1.784,3.047,1.247,1.157,344.279
42,11.355,0.037,282.837,3.824,3.207,2.855,0.067,18.984,0.873,1.730,0.060,19.001,0.870,1.726,3.118,1.215,1.142,352.919
78,11.577,0.034,274.292,3.913,3.164,2.800,0.068,19.167,0.858,1.839,0.062,19.236,0.856,1.793,3.074,1.229,1.131,345.109
98,11.410,0.032,271.339,4.166,2.773,2.799,0.064,18.784,0.857,1.701,0.060,18.798,0.855,1.808,3.101,1.245,1.105,340.915
43,11.302,0.033,272.166,3.745,3.179,2.804,0.081,19.020,0.850,1.790,0.063,19.021,0.848,1.800,3.094,1.127,1.096,342.036
