master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
93,11.837,0.031,189.445,62.482,47.063,46.607,0.048,1.984,0.108,0.731,0.045,1.969,0.107,0.762,364.356
12,11.890,0.032,191.811,62.261,45.406,47.413,0.047,1.990,0.110,0.754,0.044,1.981,0.112,0.759,365.736
76,11.948,0.032,190.100,64.130,46.097,46.344,0.045,1.982,0.112,0.774,0.042,2.011,0.110,0.764,365.622
29,11.774,0.031,190.789,62.811,46.970,45.123,0.046,1.960,0.114,0.781,0.043,1.967,0.112,0.789,364.425
17,11.747,0.031,189.027,62.928,47.434,47.427,0.039,1.970,0.123,0.776,0.036,1.967,0.108,0.777,365.475
