phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,24.36,1.12,23.19,25.88,5
partition,0.11,0.01,0.10,0.13,5
fit_encoder_dict,9048.14,548.83,8396.97,9854.80,5
sparse_codes_train,313.95,34.16,258.07,348.62,5
sparse_codes_val,254.07,52.04,194.35,337.22,5
sparse_codes_test,273.11,53.24,211.25,333.35,5
val_logreg,0.69,0.06,0.62,0.79,5
val_gboost,21.99,0.44,21.52,22.46,5
val_svm,2.13,0.08,2.03,2.23,5
val_rf,8.62,0.22,8.40,8.90,5
test_logreg,0.66,0.03,0.62,0.71,5
test_gboost,22.26,0.78,21.08,23.15,5
test_svm,2.19,0.14,2.08,2.41,5
test_rf,8.80,0.14,8.60,8.98,5
seed_total,9981.09,667.66,9151.38,10966.05,5
