phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,16.59,0.15,16.32,16.68,5
partition,0.09,0.02,0.07,0.11,5
fit_encoder_dict,100.46,1.71,97.61,101.92,5
sparse_codes_train,77.65,7.57,68.01,89.20,5
sparse_codes_val,57.47,4.70,51.45,64.55,5
sparse_codes_test,57.97,5.93,51.35,67.60,5
val_logreg,0.16,0.03,0.11,0.19,5
val_gboost,29.50,1.55,27.16,31.50,5
val_svm,1.17,0.10,1.08,1.33,5
val_rf,3.46,0.18,3.28,3.73,5
test_logreg,0.16,0.03,0.12,0.20,5
test_gboost,29.50,1.72,27.17,31.99,5
test_svm,1.13,0.07,1.06,1.25,5
test_rf,3.57,0.34,3.33,4.15,5
seed_total,378.88,23.15,349.04,414.11,5
