phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.61,0.07,11.57,11.66,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,186.49,0.89,185.86,187.13,2
sparse_codes_train,61.25,0.02,61.23,61.26,2
sparse_codes_val,46.31,0.42,46.01,46.60,2
sparse_codes_test,44.93,1.04,44.20,45.66,2
val_logreg,0.05,0.00,0.05,0.06,2
val_gboost,28.47,0.11,28.39,28.55,2
val_svm,1.73,0.07,1.68,1.79,2
val_rf,2.87,0.17,2.75,2.99,2
test_logreg,0.05,0.00,0.04,0.05,2
test_gboost,28.52,0.19,28.39,28.66,2
test_svm,1.74,0.11,1.66,1.82,2
test_rf,2.85,0.18,2.73,2.98,2
src_embeddings,44.81,0.93,44.16,45.47,2
src_pure,0.31,0.02,0.29,0.32,2
src_fddl,0.20,0.00,0.20,0.20,2
seed_total,462.27,2.29,460.65,463.89,2
