master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
56,8.691,0.039,111.059,43.078,31.879,31.340,0.033,3.742,0.147,1.050,0.026,3.731,0.142,1.059,31.364,0.094,0.098,267.717
87,8.518,0.040,108.338,41.267,30.931,29.332,0.029,3.694,0.149,1.061,0.027,3.795,0.145,1.060,29.259,0.088,0.098,257.970
