phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,8.60,0.12,8.52,8.69,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,109.70,1.92,108.34,111.06,2
sparse_codes_train,42.17,1.28,41.27,43.08,2
sparse_codes_val,31.41,0.67,30.93,31.88,2
sparse_codes_test,30.34,1.42,29.33,31.34,2
val_logreg,0.03,0.00,0.03,0.03,2
val_gboost,3.72,0.03,3.69,3.74,2
val_svm,0.15,0.00,0.15,0.15,2
val_rf,1.06,0.01,1.05,1.06,2
test_logreg,0.03,0.00,0.03,0.03,2
test_gboost,3.76,0.05,3.73,3.79,2
test_svm,0.14,0.00,0.14,0.14,2
test_rf,1.06,0.00,1.06,1.06,2
src_embeddings,30.31,1.49,29.26,31.36,2
src_pure,0.09,0.00,0.09,0.09,2
src_fddl,0.10,0.00,0.10,0.10,2
seed_total,262.84,6.89,257.97,267.72,2
