phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,16.14,0.75,14.86,16.88,5
partition,0.10,0.01,0.09,0.11,5
fit_encoder_dict,113.89,4.89,109.53,122.14,5
sparse_codes_train,7.25,0.33,6.76,7.59,5
sparse_codes_val,5.45,0.17,5.20,5.66,5
sparse_codes_test,5.11,0.29,4.81,5.47,5
val_logreg,0.08,0.01,0.07,0.10,5
val_gboost,1.83,0.18,1.74,2.15,5
val_svm,0.15,0.02,0.12,0.18,5
val_rf,0.82,0.02,0.78,0.84,5
test_logreg,0.08,0.02,0.06,0.10,5
test_gboost,1.83,0.16,1.74,2.12,5
test_svm,0.16,0.02,0.14,0.18,5
test_rf,0.92,0.10,0.79,1.00,5
seed_total,153.81,5.27,148.27,162.44,5
