phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,16.65,0.18,16.54,16.95,5
partition,0.10,0.02,0.07,0.11,5
fit_encoder_dict,35.27,0.74,34.25,36.18,5
sparse_codes_train,36.61,0.79,35.54,37.54,5
sparse_codes_val,28.15,0.57,27.41,28.62,5
sparse_codes_test,27.70,0.71,26.99,28.61,5
val_logreg,0.10,0.01,0.08,0.12,5
val_gboost,19.65,0.29,19.14,19.82,5
val_svm,0.84,0.10,0.76,0.99,5
val_rf,2.66,0.29,2.43,3.09,5
test_logreg,0.10,0.02,0.07,0.12,5
test_gboost,19.32,0.20,19.13,19.63,5
test_svm,0.80,0.04,0.77,0.86,5
test_rf,2.47,0.05,2.40,2.52,5
seed_total,190.44,1.86,188.15,193.19,5
