phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.98,0.24,11.72,12.35,5
partition,0.03,0.00,0.03,0.04,5
fit_wl_fddl,10371.69,66.46,10293.91,10450.45,5
sparse_codes_train,21.71,0.42,21.34,22.27,5
sparse_codes_val,16.44,0.15,16.23,16.62,5
sparse_codes_test,15.31,0.16,15.19,15.56,5
val_logreg,0.34,0.01,0.32,0.35,5
val_gboost,163.10,0.80,161.97,164.19,5
val_svm,6.66,0.68,5.77,7.47,5
val_rf,4.15,0.15,3.99,4.34,5
test_logreg,0.29,0.01,0.28,0.30,5
test_gboost,162.67,1.04,161.37,164.25,5
test_svm,6.64,0.65,5.78,7.41,5
test_rf,4.14,0.15,3.95,4.34,5
src_embeddings,13.77,0.12,13.66,13.95,5
src_pure,15.84,0.21,15.59,16.01,5
src_fddl,15.89,0.42,15.60,16.62,5
seed_total,10830.78,69.38,10750.36,10914.19,5
