master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
56,11.760,0.032,184.059,62.768,46.353,46.059,0.042,1.679,0.095,0.618,0.039,1.679,0.093,0.619,357.022
85,11.848,0.031,185.136,62.897,46.552,46.699,0.036,1.643,0.094,0.670,0.034,1.642,0.094,0.673,359.184
78,11.879,0.031,184.208,61.532,46.169,47.444,0.042,1.667,0.096,0.664,0.039,1.676,0.094,0.654,357.318
23,11.837,0.031,182.148,61.557,47.208,48.076,0.037,1.629,0.094,0.671,0.034,1.634,0.092,0.677,356.837
8,11.956,0.031,184.302,61.078,47.393,46.983,0.040,1.677,0.094,0.634,0.037,1.674,0.092,0.635,357.736
