phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.86,0.07,11.76,11.96,5
partition,0.03,0.00,0.03,0.03,5
fit_encoder_dict,183.97,1.10,182.15,185.14,5
sparse_codes_train,61.97,0.81,61.08,62.90,5
sparse_codes_val,46.73,0.54,46.17,47.39,5
sparse_codes_test,47.05,0.76,46.06,48.08,5
val_logreg,0.04,0.00,0.04,0.04,5
val_gboost,1.66,0.02,1.63,1.68,5
val_svm,0.09,0.00,0.09,0.10,5
val_rf,0.65,0.02,0.62,0.67,5
test_logreg,0.04,0.00,0.03,0.04,5
test_gboost,1.66,0.02,1.63,1.68,5
test_svm,0.09,0.00,0.09,0.09,5
test_rf,0.65,0.02,0.62,0.68,5
seed_total,357.62,0.94,356.84,359.18,5
