phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.73,0.19,11.56,11.95,5
partition,0.03,0.00,0.03,0.04,5
fit_encoder_dict,159.82,1.65,157.54,161.76,5
sparse_codes_train,61.27,1.24,59.75,62.38,5
sparse_codes_val,46.06,0.77,45.38,47.38,5
sparse_codes_test,45.98,0.62,45.23,46.92,5
val_logreg,0.03,0.00,0.03,0.04,5
val_gboost,3.91,0.03,3.89,3.95,5
val_svm,0.16,0.01,0.15,0.17,5
val_rf,1.01,0.02,0.98,1.04,5
test_logreg,0.03,0.00,0.03,0.03,5
test_gboost,3.91,0.02,3.89,3.94,5
test_svm,0.16,0.01,0.15,0.16,5
test_rf,1.01,0.02,0.97,1.04,5
src_embeddings,45.95,0.59,45.16,46.82,5
src_pure,0.22,0.03,0.19,0.27,5
src_fddl,0.17,0.03,0.13,0.20,5
seed_total,381.48,2.75,378.79,384.46,5
