phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,12.08,0.11,11.99,12.27,5
partition,0.04,0.00,0.03,0.04,5
fit_wl_fddl,155.87,1.60,154.04,158.07,5
sparse_codes_train,18.46,0.22,18.18,18.72,5
sparse_codes_val,14.48,0.61,14.12,15.55,5
sparse_codes_test,13.83,0.06,13.78,13.93,5
val_logreg,0.04,0.01,0.03,0.06,5
val_gboost,3.52,0.11,3.38,3.67,5
val_svm,0.10,0.01,0.09,0.10,5
val_rf,0.65,0.03,0.63,0.70,5
test_logreg,0.03,0.00,0.03,0.03,5
test_gboost,3.51,0.11,3.38,3.64,5
test_svm,0.09,0.00,0.09,0.10,5
test_rf,0.65,0.03,0.63,0.69,5
src_embeddings,13.74,0.06,13.67,13.84,5
src_pure,0.90,0.08,0.77,0.96,5
src_fddl,0.69,0.01,0.68,0.70,5
seed_total,238.71,2.39,235.89,241.45,5
