master_seed,data_load,partition,fit_wl_fddl,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
41,12.272,0.038,156.781,18.722,15.551,13.799,0.056,3.580,0.104,0.705,0.031,3.611,0.099,0.694,13.839,0.769,0.696,241.447
42,12.065,0.034,158.071,18.657,14.399,13.931,0.045,3.468,0.096,0.635,0.027,3.439,0.088,0.631,13.715,0.883,0.684,240.942
43,12.013,0.034,154.043,18.184,14.119,13.810,0.029,3.383,0.090,0.631,0.028,3.382,0.089,0.632,13.744,0.964,0.684,235.888
44,11.990,0.036,155.699,18.354,14.190,13.778,0.031,3.482,0.095,0.627,0.028,3.481,0.093,0.631,13.671,0.913,0.686,237.808
45,12.052,0.038,154.758,18.401,14.127,13.828,0.033,3.673,0.094,0.664,0.029,3.636,0.092,0.665,13.735,0.952,0.690,237.483
