master_seed,total_atoms,LogisticRegression/Accuracy,LogisticRegression/Precision,LogisticRegression/Recall,LogisticRegression/F1-Score,LogisticRegression/ROC-AUC,LogisticRegression/PR-AUC,GradientBoosting/Accuracy,GradientBoosting/Precision,GradientBoosting/Recall,GradientBoosting/F1-Score,GradientBoosting/ROC-AUC,GradientBoosting/PR-AUC,LinearSVM/Accuracy,LinearSVM/Precision,LinearSVM/Recall,LinearSVM/F1-Score,LinearSVM/ROC-AUC,LinearSVM/PR-AUC,RandomForest/Accuracy,RandomForest/Precision,RandomForest/Recall,RandomForest/F1-Score,RandomForest/ROC-AUC,RandomForest/PR-AUC,SRC_pure/balanced_acc,SRC_pure/precision,SRC_pure/recall,SRC_pure/f1_score,SRC_pure/roc_auc,SRC_pure/pr_auc,SRC_fddl/balanced_acc,SRC_fddl/precision,SRC_fddl/recall,SRC_fddl/f1_score,SRC_fddl/roc_auc,SRC_fddl/pr_auc
41,32,0.9187872225230103,0.2613065326633166,0.4,0.3161094224924012,0.8037933520749274,0.2594542799593723,0.9296155928532756,0.3153409090909091,0.4269230769230769,0.3627450980392157,0.7893456950169694,0.2621753000834554,0.9139144558743909,0.2482598607888631,0.4115384615384615,0.3096960926193922,0.8037904388737565,0.26011154149900373,0.9391806533116765,0.3769968051118211,0.45384615384615384,0.4118673647469459,0.8348932311770789,0.348620027658732,0.6619,0.2055,0.4,0.2715,0.7879,0.1618,0.6554,0.2192,0.3769,0.2772,0.7908,0.1699
42,32,0.9355711965349215,0.3298245614035088,0.36153846153846153,0.344954128440367,0.8019911730004516,0.26821374413344934,0.9308789027251398,0.3206997084548105,0.4230769230769231,0.3648424543946932,0.8040409741744716,0.28969869057151143,0.9380978162786501,0.35125448028673834,0.3769230769230769,0.36363636363636365,0.8039481158871427,0.26872937601651387,0.9503699693196174,0.4634146341463415,0.36538461538461536,0.40860215053763443,0.8261638238678572,0.36542050843284823,0.6274,0.1573,0.3462,0.2163,0.7679,0.121,0.6269,0.1748,0.3308,0.2287,0.7734,0.1282
43,32,0.9205919509113878,0.2815533980582524,0.4461538461538462,0.34523809523809523,0.8111247869721643,0.27798822108972765,0.9375563977621368,0.34965034965034963,0.38461538461538464,0.3663003663003663,0.8144851645230362,0.29871907798180486,0.9283522829814113,0.30919220055710306,0.4269230769230769,0.35864297253634897,0.8117817138362489,0.2820133740155886,0.9568669915177765,0.5580110497237569,0.38846153846153847,0.4580498866213152,0.8507559757039023,0.39954268274533006,0.6341,0.1917,0.3385,0.2448,0.76,0.1373,0.6292,0.2054,0.3192,0.25,0.7673,0.1495
44,32,0.9119292546471756,0.25217391304347825,0.4461538461538462,0.32222222222222224,0.8386388795828296,0.25277774544073217,0.9348493051795704,0.31226765799256506,0.3230769230769231,0.31758034026465026,0.821314072218257,0.2521029221052692,0.9144558743909041,0.25900900900900903,0.4423076923076923,0.32670454545454547,0.8398471297685461,0.2518705276668446,0.9473019310593755,0.43333333333333335,0.4,0.416,0.851143067309513,0.37811965552361787,0.6097,0.1548,0.3,0.2042,0.7607,0.1297,0.6073,0.173,0.2808,0.2141,0.7709,0.1455
45,32,0.8920772423750225,0.2135593220338983,0.4846153846153846,0.2964705882352941,0.8015483664224434,0.20626721957551453,0.9195091138783613,0.2806603773584906,0.4576923076923077,0.347953216374269,0.7895503473992396,0.27842884517456523,0.8890092041147807,0.214170692431562,0.5115384615384615,0.30192962542565266,0.8031834005797271,0.21552655069705645,0.943331528604945,0.3953488372093023,0.3923076923076923,0.3938223938223938,0.8192944955063871,0.33186514899269315,0.6667,0.1996,0.4154,0.2697,0.79,0.1619,0.6617,0.2189,0.3923,0.281,0.7942,0.1739
