phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,16.46,0.33,15.95,16.79,5
partition,0.09,0.02,0.07,0.11,5
fit_encoder_dict,257.47,1.56,255.10,258.88,5
sparse_codes_train,136.51,7.49,128.90,147.04,5
sparse_codes_val,102.72,6.21,96.42,112.06,5
sparse_codes_test,102.23,6.01,95.60,111.16,5
val_logreg,0.15,0.02,0.13,0.18,5
val_gboost,31.28,0.90,30.45,32.50,5
val_svm,1.19,0.07,1.12,1.28,5
val_rf,3.81,0.28,3.35,4.09,5
test_logreg,0.14,0.02,0.12,0.16,5
test_gboost,31.57,1.67,29.87,34.25,5
test_svm,1.15,0.06,1.07,1.22,5
test_rf,3.75,0.21,3.53,4.08,5
seed_total,688.52,22.91,666.66,722.19,5
