phase,mean_sec,std_sec,min_sec,max_sec,n
partition,0.01,0.00,0.01,0.02,10
val_logreg,0.16,0.02,0.14,0.20,10
val_gboost,14.16,0.69,13.64,15.79,10
val_svm,1.68,0.18,1.37,1.92,10
val_rf,2.82,0.05,2.74,2.89,10
test_logreg,0.15,0.01,0.14,0.16,10
test_gboost,14.13,0.81,13.59,16.09,10
test_svm,1.64,0.19,1.35,1.95,10
test_rf,2.80,0.04,2.75,2.90,10
seed_total,37.83,2.41,36.18,44.23,10
