metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.7167,0.0004,0.0040,2
LogisticRegression/Macro-Recall,0.7033,0.0378,0.3393,2
LogisticRegression/Macro-F1,0.7087,0.0202,0.1811,2
LogisticRegression/Macro-PR-AUC,0.6673,0.0109,0.0983,2
LogisticRegression/Accuracy,0.9580,0.0009,0.0081,2
LogisticRegression/ROC-AUC,0.8335,0.0276,0.2478,2
LogisticRegression/MCC,0.4189,0.0386,0.3472,2
LogisticRegression/Minority-Precision,0.4565,0.0039,0.0353,2
LogisticRegression/Minority-Recall,0.4272,0.0797,0.7158,2
LogisticRegression/Minority-F1,0.4393,0.0409,0.3672,2
LogisticRegression/Minority-PR-AUC,0.3467,0.0199,0.1791,2
GradientBoosting/Macro-Precision,0.7047,0.0029,0.0262,2
GradientBoosting/Macro-Recall,0.6491,0.0092,0.0829,2
GradientBoosting/Macro-F1,0.6718,0.0054,0.0486,2
GradientBoosting/Macro-PR-AUC,0.6477,0.0073,0.0656,2
GradientBoosting/Accuracy,0.9577,0.0006,0.0058,2
GradientBoosting/ROC-AUC,0.8308,0.0101,0.0908,2
GradientBoosting/MCC,0.3493,0.0083,0.0748,2
GradientBoosting/Minority-Precision,0.4367,0.0066,0.0590,2
GradientBoosting/Minority-Recall,0.3146,0.0199,0.1790,2
GradientBoosting/Minority-F1,0.3654,0.0112,0.1003,2
GradientBoosting/Minority-PR-AUC,0.3060,0.0139,0.1248,2
LinearSVM/Macro-Precision,0.6966,0.0052,0.0465,2
LinearSVM/Macro-Recall,0.7203,0.0041,0.0369,2
LinearSVM/Macro-F1,0.7076,0.0012,0.0103,2
LinearSVM/Macro-PR-AUC,0.6705,0.0110,0.0987,2
LinearSVM/Accuracy,0.9538,0.0013,0.0116,2
LinearSVM/ROC-AUC,0.8292,0.0330,0.2965,2
LinearSVM/MCC,0.4161,0.0016,0.0144,2
LinearSVM/Minority-Precision,0.4148,0.0107,0.0963,2
LinearSVM/Minority-Recall,0.4671,0.0100,0.0895,2
LinearSVM/Minority-F1,0.4393,0.0016,0.0144,2
LinearSVM/Minority-PR-AUC,0.3533,0.0199,0.1784,2
RandomForest/Macro-Precision,0.7217,0.0210,0.1885,2
RandomForest/Macro-Recall,0.7102,0.0267,0.2396,2
RandomForest/Macro-F1,0.7143,0.0043,0.0384,2
RandomForest/Macro-PR-AUC,0.6886,0.0257,0.2311,2
RandomForest/Accuracy,0.9583,0.0039,0.0347,2
RandomForest/ROC-AUC,0.8551,0.0268,0.2404,2
RandomForest/MCC,0.4304,0.0070,0.0626,2
RandomForest/Minority-Precision,0.4658,0.0442,0.3969,2
RandomForest/Minority-Recall,0.4413,0.0598,0.5369,2
RandomForest/Minority-F1,0.4502,0.0107,0.0957,2
RandomForest/Minority-PR-AUC,0.3878,0.0493,0.4427,2
SRC_pure/Macro-Precision,0.5538,0.0048,0.0432,2
SRC_pure/Macro-Recall,0.7436,0.0222,0.1993,2
SRC_pure/Macro-F1,0.5470,0.0072,0.0645,2
SRC_pure/Macro-PR-AUC,0.6110,0.0025,0.0222,2
SRC_pure/Accuracy,0.7993,0.0028,0.0254,2
SRC_pure/ROC-AUC,0.8005,0.0079,0.0710,2
SRC_pure/MCC,0.2290,0.0207,0.1856,2
SRC_pure/Minority-Precision,0.1233,0.0075,0.0673,2
SRC_pure/Minority-Recall,0.6831,0.0432,0.3877,2
SRC_pure/Minority-F1,0.2089,0.0128,0.1148,2
SRC_pure/Minority-PR-AUC,0.2358,0.0063,0.0564,2
SRC_fddl/Macro-Precision,0.5536,0.0048,0.0428,2
SRC_fddl/Macro-Recall,0.7432,0.0221,0.1987,2
SRC_fddl/Macro-F1,0.5465,0.0071,0.0635,2
SRC_fddl/Macro-PR-AUC,0.6109,0.0025,0.0221,2
SRC_fddl/Accuracy,0.7987,0.0027,0.0243,2
SRC_fddl/ROC-AUC,0.8005,0.0079,0.0711,2
SRC_fddl/MCC,0.2284,0.0205,0.1844,2
SRC_fddl/Minority-Precision,0.1229,0.0074,0.0665,2
SRC_fddl/Minority-Recall,0.6831,0.0432,0.3877,2
SRC_fddl/Minority-F1,0.2084,0.0126,0.1135,2
SRC_fddl/Minority-PR-AUC,0.2357,0.0063,0.0562,2
