metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6621,0.0003,0.0027,2
LogisticRegression/Macro-Recall,0.6950,0.0552,0.4963,2
LogisticRegression/Macro-F1,0.6744,0.0221,0.1986,2
LogisticRegression/Macro-PR-AUC,0.6517,0.0484,0.4352,2
LogisticRegression/Accuracy,0.9361,0.0056,0.0504,2
LogisticRegression/ROC-AUC,0.8303,0.0254,0.2283,2
LogisticRegression/MCC,0.3537,0.0509,0.4577,2
LogisticRegression/Minority-Precision,0.3525,0.0050,0.0447,2
LogisticRegression/Minority-Recall,0.4288,0.1224,1.0996,2
LogisticRegression/Minority-F1,0.3826,0.0475,0.4265,2
LogisticRegression/Minority-PR-AUC,0.3175,0.0955,0.8581,2
GradientBoosting/Macro-Precision,0.6566,0.0250,0.2246,2
GradientBoosting/Macro-Recall,0.7161,0.0039,0.0353,2
GradientBoosting/Macro-F1,0.6798,0.0194,0.1741,2
GradientBoosting/Macro-PR-AUC,0.6607,0.0186,0.1674,2
GradientBoosting/Accuracy,0.9311,0.0100,0.0894,2
GradientBoosting/ROC-AUC,0.8356,0.0076,0.0680,2
GradientBoosting/MCC,0.3674,0.0327,0.2942,2
GradientBoosting/Minority-Precision,0.3394,0.0498,0.4478,2
GradientBoosting/Minority-Recall,0.4788,0.0027,0.0244,2
GradientBoosting/Minority-F1,0.3961,0.0333,0.2989,2
GradientBoosting/Minority-PR-AUC,0.3345,0.0364,0.3272,2
LinearSVM/Macro-Precision,0.6393,0.0172,0.1542,2
LinearSVM/Macro-Recall,0.7159,0.0199,0.1787,2
LinearSVM/Macro-F1,0.6670,0.0191,0.1717,2
LinearSVM/Macro-PR-AUC,0.6444,0.0489,0.4392,2
LinearSVM/Accuracy,0.9237,0.0059,0.0527,2
LinearSVM/ROC-AUC,0.8210,0.0268,0.2407,2
LinearSVM/MCC,0.3468,0.0373,0.3355,2
LinearSVM/Minority-Precision,0.3046,0.0325,0.2916,2
LinearSVM/Minority-Recall,0.4865,0.0354,0.3177,2
LinearSVM/Minority-F1,0.3746,0.0350,0.3148,2
LinearSVM/Minority-PR-AUC,0.3041,0.0957,0.8594,2
RandomForest/Macro-Precision,0.7185,0.0660,0.5932,2
RandomForest/Macro-Recall,0.7207,0.0585,0.5252,2
RandomForest/Macro-F1,0.7090,0.0053,0.0477,2
RandomForest/Macro-PR-AUC,0.6972,0.0194,0.1745,2
RandomForest/Accuracy,0.9450,0.0167,0.1502,2
RandomForest/ROC-AUC,0.8587,0.0005,0.0044,2
RandomForest/MCC,0.4302,0.0084,0.0752,2
RandomForest/Minority-Precision,0.4629,0.1382,1.2420,2
RandomForest/Minority-Recall,0.4731,0.1414,1.2706,2
RandomForest/Minority-F1,0.4471,0.0014,0.0123,2
RandomForest/Minority-PR-AUC,0.4059,0.0393,0.3527,2
SRC_pure/Macro-Precision,0.5283,0.0149,0.1341,2
SRC_pure/Macro-Recall,0.5625,0.0291,0.2612,2
SRC_pure/Macro-F1,0.5309,0.0213,0.1915,2
SRC_pure/Macro-PR-AUC,0.5306,0.0095,0.0856,2
SRC_pure/Accuracy,0.8614,0.0135,0.1215,2
SRC_pure/ROC-AUC,0.6680,0.0266,0.2392,2
SRC_pure/MCC,0.0841,0.0418,0.3752,2
SRC_pure/Minority-Precision,0.0973,0.0270,0.2424,2
SRC_pure/Minority-Recall,0.2327,0.0462,0.4154,2
SRC_pure/Minority-F1,0.1371,0.0349,0.3135,2
SRC_pure/Minority-PR-AUC,0.0865,0.0164,0.1477,2
SRC_fddl/Macro-Precision,0.5299,0.0149,0.1341,2
SRC_fddl/Macro-Recall,0.5634,0.0282,0.2534,2
SRC_fddl/Macro-F1,0.5336,0.0208,0.1865,2
SRC_fddl/Macro-PR-AUC,0.5311,0.0097,0.0873,2
SRC_fddl/Accuracy,0.8665,0.0119,0.1066,2
SRC_fddl/ROC-AUC,0.6690,0.0266,0.2386,2
SRC_fddl/MCC,0.0870,0.0411,0.3694,2
SRC_fddl/Minority-Precision,0.1004,0.0271,0.2433,2
SRC_fddl/Minority-Recall,0.2288,0.0462,0.4154,2
SRC_fddl/Minority-F1,0.1395,0.0348,0.3125,2
SRC_fddl/Minority-PR-AUC,0.0874,0.0168,0.1512,2
