master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
68,11.663,0.036,153.892,68.773,53.378,52.832,0.058,21.996,1.212,2.494,0.054,21.951,1.191,2.483,392.034
45,11.663,0.036,156.403,67.815,52.865,50.411,0.051,20.580,0.837,2.298,0.049,20.594,0.962,2.291,386.875
