phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.66,0.00,11.66,11.66,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,155.15,1.78,153.89,156.40,2
sparse_codes_train,68.29,0.68,67.81,68.77,2
sparse_codes_val,53.12,0.36,52.87,53.38,2
sparse_codes_test,51.62,1.71,50.41,52.83,2
val_logreg,0.05,0.00,0.05,0.06,2
val_gboost,21.29,1.00,20.58,22.00,2
val_svm,1.02,0.27,0.84,1.21,2
val_rf,2.40,0.14,2.30,2.49,2
test_logreg,0.05,0.00,0.05,0.05,2
test_gboost,21.27,0.96,20.59,21.95,2
test_svm,1.08,0.16,0.96,1.19,2
test_rf,2.39,0.14,2.29,2.48,2
seed_total,389.45,3.65,386.88,392.03,2
