phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.88,0.21,11.72,12.03,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,344.11,1.84,342.81,345.41,2
sparse_codes_train,61.90,0.40,61.61,62.18,2
sparse_codes_val,45.47,0.17,45.35,45.59,2
sparse_codes_test,46.60,0.29,46.40,46.81,2
val_logreg,0.13,0.01,0.12,0.13,2
val_gboost,119.37,1.00,118.66,120.08,2
val_svm,23.39,6.17,19.03,27.76,2
val_rf,5.59,0.10,5.52,5.65,2
test_logreg,0.12,0.00,0.12,0.12,2
test_gboost,118.93,0.63,118.48,119.38,2
test_svm,23.68,7.32,18.50,28.85,2
test_rf,5.58,0.11,5.50,5.66,2
src_embeddings,46.62,0.19,46.49,46.75,2
src_pure,1.26,0.01,1.25,1.26,2
src_fddl,1.13,0.00,1.12,1.13,2
seed_total,855.81,16.22,844.34,867.27,2
