family,method,encoder,dict_learner,dict_learner_impl,implementation,dataset,dataset_id,atoms,classifier,source,n_seeds,status,macro_precision,macro_recall,macro_f1,macro_pr_auc,minority_precision,minority_recall,minority_f1,minority_pr_auc,accuracy,roc_auc,mcc,macro_f1_std,minority_f1_std,minority_pr_auc_std,mcc_std,roc_auc_std,threshold,fit_seconds,run_started,run_id
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,128,LogisticRegression,mccv,2,ok,0.638668,0.717737,0.667076,0.626339,0.298793,0.481221,0.367917,0.26415,0.935907,0.829336,0.347194,0.000195,0.003114,0.051142,0.007617,0.0166,,72.39,20260831_142413,mc_cv_wl_fddl_gpu_nci_full_id33_atoms128_20260831_142413_20260831_142807
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,128,GradientBoosting,mccv,2,ok,0.664725,0.670576,0.663747,0.630211,0.354932,0.370892,0.355148,0.273163,0.947014,0.811506,0.332029,0.019107,0.030851,0.04729,0.035844,0.010955,,72.39,20260831_142413,mc_cv_wl_fddl_gpu_nci_full_id33_atoms128_20260831_142413_20260831_142807
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,128,LinearSVM,mccv,2,ok,0.669205,0.689734,0.678771,0.636819,0.3624,0.408451,0.384035,0.284578,0.949199,0.837526,0.358345,0.007763,0.015135,0.053296,0.01579,0.021716,,72.39,20260831_142413,mc_cv_wl_fddl_gpu_nci_full_id33_atoms128_20260831_142413_20260831_142807
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,128,RandomForest,mccv,2,ok,0.745539,0.687401,0.711705,0.684459,0.515463,0.389671,0.443063,0.380976,0.962036,0.838107,0.428664,0.003427,0.007623,0.006438,0.002854,0.00981,,72.39,20260831_142413,mc_cv_wl_fddl_gpu_nci_full_id33_atoms128_20260831_142413_20260831_142807
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,256,LogisticRegression,mccv,2,ok,0.659129,0.709893,0.680339,0.648025,0.340536,0.455399,0.389669,0.305873,0.944647,0.841365,0.365509,0.013767,0.026038,0.028278,0.027322,0.005702,,129.33,20260831_014438,mc_cv_wl_fddl_gpu_nci_full_id33_atoms256_20260831_014438_20260831_015040
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,256,GradientBoosting,mccv,2,ok,0.677278,0.676559,0.676695,0.647653,0.379644,0.377934,0.378343,0.306986,0.952021,0.833751,0.353646,0.019323,0.038359,0.024495,0.038571,0.018511,,129.33,20260831_014438,mc_cv_wl_fddl_gpu_nci_full_id33_atoms256_20260831_014438_20260831_015040
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,256,LinearSVM,mccv,2,ok,0.664793,0.709809,0.683515,0.647663,0.351893,0.453052,0.394941,0.304874,0.94665,0.845519,0.371384,0.024831,0.04991,0.034146,0.054533,0.00585,,129.33,20260831_014438,mc_cv_wl_fddl_gpu_nci_full_id33_atoms256_20260831_014438_20260831_015040
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,256,RandomForest,mccv,2,ok,0.673622,0.717467,0.692501,0.682707,0.368973,0.467136,0.411998,0.374705,0.948379,0.858138,0.388496,0.010169,0.020593,0.007542,0.022644,0.009125,,129.33,20260831_014438,mc_cv_wl_fddl_gpu_nci_full_id33_atoms256_20260831_014438_20260831_015040
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,512,LogisticRegression,mccv,2,ok,0.646991,0.702036,0.666446,0.632136,0.31678,0.443662,0.364208,0.275686,0.940368,0.82955,0.34234,0.005639,0.01706,0.009962,0.024213,0.010931,,273.56,20260831_010356,mc_cv_wl_fddl_gpu_nci_full_id33_atoms512_20260831_010356_20260831_011531
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,512,GradientBoosting,mccv,2,ok,0.632553,0.705895,0.656044,0.634767,0.287442,0.460094,0.347663,0.281092,0.932629,0.817271,0.327747,0.010554,0.011694,0.022964,0.001784,0.002151,,273.56,20260831_010356,mc_cv_wl_fddl_gpu_nci_full_id33_atoms512_20260831_010356_20260831_011531
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,512,LinearSVM,mccv,2,ok,0.661425,0.691929,0.674981,0.635355,0.346624,0.415493,0.377685,0.282315,0.946923,0.8279,0.351923,0.002407,0.005739,0.001755,0.006338,0.011909,,273.56,20260831_010356,mc_cv_wl_fddl_gpu_nci_full_id33_atoms512_20260831_010356_20260831_011531
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,512,RandomForest,mccv,2,ok,0.714596,0.706339,0.709716,0.696662,0.451989,0.434272,0.441632,0.402197,0.957302,0.863975,0.420274,0.009526,0.016643,0.006892,0.019788,0.003072,,273.56,20260831_010356,mc_cv_wl_fddl_gpu_nci_full_id33_atoms512_20260831_010356_20260831_011531
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,1024,LogisticRegression,mccv,2,ok,0.676891,0.716814,0.694432,0.661095,0.375584,0.464789,0.415369,0.332146,0.94929,0.844184,0.391639,0.007269,0.014498,0.017179,0.015662,0.004438,,651.9,20260830_231458,mc_cv_wl_fddl_gpu_nci_full_id33_atoms1024_20260830_231458_20260830_234045
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,1024,GradientBoosting,mccv,2,ok,0.639253,0.699073,0.662671,0.645179,0.301557,0.438967,0.357362,0.301715,0.939002,0.825612,0.332931,0.025511,0.049726,0.032287,0.054338,0.004186,,651.9,20260830_231458,mc_cv_wl_fddl_gpu_nci_full_id33_atoms1024_20260830_231458_20260830_234045
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,1024,LinearSVM,mccv,2,ok,0.671584,0.71244,0.68829,0.653695,0.365286,0.457746,0.404116,0.318383,0.947378,0.832316,0.380899,0.012629,0.020935,0.039201,0.019708,0.014851,,651.9,20260830_231458,mc_cv_wl_fddl_gpu_nci_full_id33_atoms1024_20260830_231458_20260830_234045
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,1024,RandomForest,mccv,2,ok,0.689779,0.713729,0.699421,0.681809,0.401651,0.455399,0.423883,0.373012,0.952021,0.857257,0.401519,0.000292,0.002574,0.021708,0.003044,0.025941,,651.9,20260830_231458,mc_cv_wl_fddl_gpu_nci_full_id33_atoms1024_20260830_231458_20260830_234045
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,2048,LogisticRegression,mccv,2,ok,0.716742,0.703338,0.70874,0.667319,0.456523,0.42723,0.439286,0.346702,0.95803,0.833503,0.418936,0.020158,0.040865,0.019933,0.038639,0.027581,,1799.36,20260830_215551,mc_cv_wl_fddl_gpu_nci_full_id33_atoms2048_20260830_215551_20260830_230316
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,2048,GradientBoosting,mccv,2,ok,0.704696,0.649084,0.67177,0.647739,0.436739,0.314554,0.365438,0.305957,0.957666,0.830779,0.349255,0.005404,0.011166,0.013887,0.008322,0.010105,,1799.36,20260830_215551,mc_cv_wl_fddl_gpu_nci_full_id33_atoms2048_20260830_215551_20260830_230316
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,2048,LinearSVM,mccv,2,ok,0.696613,0.720261,0.707597,0.670543,0.414836,0.467136,0.439314,0.35331,0.953751,0.82921,0.416149,0.001152,0.001606,0.019855,0.0016,0.033001,,1799.36,20260830_215551,mc_cv_wl_fddl_gpu_nci_full_id33_atoms2048_20260830_215551_20260830_230316
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,2048,RandomForest,mccv,2,ok,0.721672,0.710239,0.714284,0.6886,0.465838,0.441315,0.450243,0.387778,0.958303,0.855073,0.430433,0.004276,0.010656,0.049276,0.006963,0.026752,,1799.36,20260830_215551,mc_cv_wl_fddl_gpu_nci_full_id33_atoms2048_20260830_215551_20260830_230316
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,4096,LogisticRegression,mccv,2,ok,0.730041,0.692038,0.708763,0.68077,0.484068,0.401408,0.438198,0.371037,0.960124,0.85204,0.420056,0.004842,0.01039,0.035607,0.007158,0.012908,,5575.05,20260831_015153,mc_cv_wl_fddl_gpu_nci_full_id33_atoms4096_20260831_015153_20260831_051308
pipeline,wl+fddl,wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,33,4096,GradientBoosting,mccv,2,ok,0.653078,0.70552,0.674368,0.659882,0.328755,0.448357,0.378754,0.329688,0.942735,0.842315,0.354487,0.01555,0.027699,0.000458,0.02743,0.001161,,5575.05,20260831_015153,mc_cv_wl_fddl_gpu_nci_full_id33_atoms4096_20260831_015153_20260831_051308
