phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.54,0.03,11.52,11.56,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,154.11,1.75,152.87,155.35,2
sparse_codes_train,60.40,1.03,59.67,61.12,2
sparse_codes_val,45.14,0.29,44.93,45.34,2
sparse_codes_test,45.61,0.23,45.44,45.77,2
val_logreg,0.04,0.01,0.04,0.05,2
val_gboost,2.48,0.07,2.44,2.53,2
val_svm,0.12,0.00,0.12,0.12,2
val_rf,0.84,0.02,0.82,0.86,2
test_logreg,0.03,0.00,0.03,0.03,2
test_gboost,2.48,0.06,2.44,2.53,2
test_svm,0.12,0.01,0.12,0.13,2
test_rf,0.84,0.02,0.82,0.86,2
seed_total,323.81,0.71,323.31,324.31,2
