master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
41,11.557,0.037,152.873,61.125,45.343,45.444,0.037,2.435,0.117,0.859,0.031,2.441,0.129,0.858,323.306
83,11.517,0.038,155.352,59.671,44.929,45.772,0.046,2.529,0.116,0.825,0.031,2.529,0.115,0.825,324.312
