phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.53,0.06,11.49,11.57,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,1878.55,52.24,1841.61,1915.48,2
sparse_codes_train,4.69,0.02,4.68,4.71,2
sparse_codes_val,3.28,0.02,3.27,3.30,2
sparse_codes_test,3.29,0.04,3.26,3.32,2
val_logreg,0.30,0.01,0.29,0.30,2
val_gboost,115.79,0.08,115.73,115.85,2
val_svm,16.61,2.75,14.66,18.55,2
val_rf,5.32,0.24,5.15,5.49,2
test_logreg,0.29,0.01,0.29,0.30,2
test_gboost,115.90,0.06,115.86,115.94,2
test_svm,16.57,2.73,14.64,18.50,2
test_rf,5.35,0.28,5.15,5.54,2
src_embeddings,3.08,0.03,3.06,3.10,2
src_pure,1.91,0.05,1.87,1.94,2
src_fddl,1.85,0.01,1.84,1.86,2
seed_total,2184.36,46.26,2151.65,2217.07,2
