metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6361,0.0123,0.0153,5
LogisticRegression/Macro-Recall,0.6539,0.0268,0.0333,5
LogisticRegression/Macro-F1,0.6422,0.0091,0.0113,5
LogisticRegression/Macro-PR-AUC,0.6149,0.0080,0.0099,5
LogisticRegression/Accuracy,0.9313,0.0077,0.0096,5
LogisticRegression/ROC-AUC,0.8079,0.0094,0.0116,5
LogisticRegression/MCC,0.2878,0.0201,0.0250,5
LogisticRegression/Minority-Precision,0.3046,0.0264,0.0328,5
LogisticRegression/Minority-Recall,0.3477,0.0642,0.0797,5
LogisticRegression/Minority-F1,0.3205,0.0207,0.0257,5
LogisticRegression/Minority-PR-AUC,0.2448,0.0159,0.0198,5
GradientBoosting/Macro-Precision,0.6462,0.0234,0.0290,5
GradientBoosting/Macro-Recall,0.6544,0.0225,0.0279,5
GradientBoosting/Macro-F1,0.6495,0.0213,0.0264,5
GradientBoosting/Macro-PR-AUC,0.6266,0.0226,0.0281,5
GradientBoosting/Accuracy,0.9352,0.0066,0.0081,5
GradientBoosting/ROC-AUC,0.7991,0.0143,0.0177,5
GradientBoosting/MCC,0.3000,0.0421,0.0523,5
GradientBoosting/Minority-Precision,0.3247,0.0454,0.0564,5
GradientBoosting/Minority-Recall,0.3446,0.0454,0.0564,5
GradientBoosting/Minority-F1,0.3331,0.0402,0.0499,5
GradientBoosting/Minority-PR-AUC,0.2695,0.0438,0.0544,5
LinearSVM/Macro-Precision,0.6301,0.0088,0.0110,5
LinearSVM/Macro-Recall,0.6514,0.0273,0.0339,5
LinearSVM/Macro-F1,0.6377,0.0078,0.0096,5
LinearSVM/Macro-PR-AUC,0.6159,0.0082,0.0102,5
LinearSVM/Accuracy,0.9295,0.0081,0.0100,5
LinearSVM/ROC-AUC,0.8092,0.0099,0.0122,5
LinearSVM/MCC,0.2791,0.0186,0.0231,5
LinearSVM/Minority-Precision,0.2928,0.0200,0.0248,5
LinearSVM/Minority-Recall,0.3446,0.0661,0.0821,5
LinearSVM/Minority-F1,0.3125,0.0191,0.0237,5
LinearSVM/Minority-PR-AUC,0.2467,0.0164,0.0203,5
RandomForest/Macro-Precision,0.7087,0.0397,0.0493,5
RandomForest/Macro-Recall,0.6838,0.0143,0.0178,5
RandomForest/Macro-F1,0.6928,0.0155,0.0193,5
RandomForest/Macro-PR-AUC,0.6798,0.0174,0.0216,5
RandomForest/Accuracy,0.9473,0.0082,0.0101,5
RandomForest/ROC-AUC,0.8277,0.0180,0.0223,5
RandomForest/MCC,0.3895,0.0333,0.0414,5
RandomForest/Minority-Precision,0.4471,0.0802,0.0995,5
RandomForest/Minority-Recall,0.3931,0.0356,0.0442,5
RandomForest/Minority-F1,0.4133,0.0274,0.0340,5
RandomForest/Minority-PR-AUC,0.3741,0.0350,0.0435,5
SRC_pure/Macro-Precision,0.5769,0.0126,0.0156,5
SRC_pure/Macro-Recall,0.6321,0.0123,0.0153,5
SRC_pure/Macro-F1,0.5933,0.0136,0.0169,5
SRC_pure/Macro-PR-AUC,0.5647,0.0098,0.0122,5
SRC_pure/Accuracy,0.8995,0.0113,0.0140,5
SRC_pure/ROC-AUC,0.7744,0.0174,0.0216,5
SRC_pure/MCC,0.2013,0.0234,0.0290,5
SRC_pure/Minority-Precision,0.1879,0.0246,0.0305,5
SRC_pure/Minority-Recall,0.3369,0.0265,0.0328,5
SRC_pure/Minority-F1,0.2404,0.0220,0.0273,5
SRC_pure/Minority-PR-AUC,0.1470,0.0188,0.0233,5
SRC_fddl/Macro-Precision,0.5854,0.0145,0.0180,5
SRC_fddl/Macro-Recall,0.6281,0.0141,0.0175,5
SRC_fddl/Macro-F1,0.6002,0.0145,0.0181,5
SRC_fddl/Macro-PR-AUC,0.5702,0.0109,0.0135,5
SRC_fddl/Accuracy,0.9094,0.0097,0.0120,5
SRC_fddl/ROC-AUC,0.7800,0.0175,0.0217,5
SRC_fddl/MCC,0.2088,0.0267,0.0332,5
SRC_fddl/Minority-Precision,0.2053,0.0282,0.0350,5
SRC_fddl/Minority-Recall,0.3177,0.0286,0.0355,5
SRC_fddl/Minority-F1,0.2485,0.0249,0.0309,5
SRC_fddl/Minority-PR-AUC,0.1577,0.0210,0.0261,5
