master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
43,11.606,0.034,28.760,3.629,3.235,2.737,0.035,1.813,0.093,0.643,0.028,1.808,0.091,0.657,3.148,0.314,0.250,58.904
15,11.634,0.036,29.402,4.187,2.921,2.792,0.035,1.828,0.090,0.644,0.029,1.816,0.087,0.643,3.173,0.370,0.247,59.954
98,11.703,0.036,29.125,3.706,3.259,2.800,0.034,1.771,0.097,0.648,0.029,1.768,0.104,0.642,3.137,0.224,0.258,59.360
81,11.770,0.033,29.281,4.075,2.935,2.738,0.037,1.830,0.108,0.640,0.028,1.822,0.096,0.633,3.094,0.325,0.199,59.661
25,11.596,0.034,29.415,4.081,2.972,2.772,0.030,1.797,0.092,0.620,0.027,1.752,0.088,0.621,3.119,0.405,0.195,59.633
