phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.66,0.07,11.60,11.77,5
partition,0.03,0.00,0.03,0.04,5
fit_encoder_dict,29.20,0.27,28.76,29.41,5
sparse_codes_train,3.94,0.25,3.63,4.19,5
sparse_codes_val,3.06,0.17,2.92,3.26,5
sparse_codes_test,2.77,0.03,2.74,2.80,5
val_logreg,0.03,0.00,0.03,0.04,5
val_gboost,1.81,0.02,1.77,1.83,5
val_svm,0.10,0.01,0.09,0.11,5
val_rf,0.64,0.01,0.62,0.65,5
test_logreg,0.03,0.00,0.03,0.03,5
test_gboost,1.79,0.03,1.75,1.82,5
test_svm,0.09,0.01,0.09,0.10,5
test_rf,0.64,0.01,0.62,0.66,5
src_embeddings,3.13,0.03,3.09,3.17,5
src_pure,0.33,0.07,0.22,0.41,5
src_fddl,0.23,0.03,0.20,0.26,5
seed_total,59.50,0.40,58.90,59.95,5
