master_seed,data_load,partition,fit_wl_fddl,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
1,11.766,0.033,69.164,3.873,3.170,2.987,0.048,4.804,0.264,0.931,0.043,4.804,0.258,0.912,3.113,0.463,0.308,106.961
33,11.586,0.034,65.852,3.619,3.104,2.666,0.048,4.623,0.249,0.924,0.042,4.603,0.249,0.925,3.079,0.339,0.284,102.245
92,11.528,0.036,63.932,4.093,2.587,2.605,0.049,4.873,0.250,0.925,0.041,4.850,0.248,0.926,2.983,0.326,0.275,100.547
13,11.616,0.036,65.105,3.498,3.218,2.647,0.056,4.717,0.258,0.898,0.043,4.687,0.256,0.894,2.978,0.372,0.282,101.581
69,11.713,0.039,65.421,4.028,3.057,2.654,0.048,4.607,0.274,0.904,0.043,4.609,0.270,0.899,2.969,0.462,0.294,102.309
