phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.64,0.10,11.53,11.77,5
partition,0.04,0.00,0.03,0.04,5
fit_wl_fddl,65.89,1.96,63.93,69.16,5
sparse_codes_train,3.82,0.26,3.50,4.09,5
sparse_codes_val,3.03,0.25,2.59,3.22,5
sparse_codes_test,2.71,0.16,2.60,2.99,5
val_logreg,0.05,0.00,0.05,0.06,5
val_gboost,4.72,0.11,4.61,4.87,5
val_svm,0.26,0.01,0.25,0.27,5
val_rf,0.92,0.01,0.90,0.93,5
test_logreg,0.04,0.00,0.04,0.04,5
test_gboost,4.71,0.11,4.60,4.85,5
test_svm,0.26,0.01,0.25,0.27,5
test_rf,0.91,0.01,0.89,0.93,5
src_embeddings,3.02,0.07,2.97,3.11,5
src_pure,0.39,0.07,0.33,0.46,5
src_fddl,0.29,0.01,0.28,0.31,5
seed_total,102.73,2.47,100.55,106.96,5
