phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.61,0.06,11.55,11.70,5
partition,0.04,0.00,0.04,0.04,5
fit_encoder_dict,14.13,0.28,13.62,14.29,5
sparse_codes_train,4.07,0.18,3.80,4.25,5
sparse_codes_val,3.00,0.29,2.75,3.50,5
sparse_codes_test,2.84,0.13,2.65,2.99,5
val_logreg,0.05,0.00,0.05,0.06,5
val_gboost,5.54,0.06,5.48,5.59,5
val_svm,0.17,0.00,0.17,0.18,5
val_rf,1.25,0.05,1.17,1.30,5
test_logreg,0.05,0.00,0.04,0.05,5
test_gboost,5.53,0.06,5.47,5.61,5
test_svm,0.17,0.00,0.17,0.17,5
test_rf,1.26,0.05,1.18,1.31,5
seed_total,49.72,0.77,48.36,50.29,5
