phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,15.67,1.30,14.17,16.43,3
partition,0.11,0.01,0.10,0.11,3
fit_encoder_dict,653.46,43.99,609.20,697.18,3
sparse_codes_train,7.61,0.25,7.39,7.88,3
sparse_codes_val,5.79,0.05,5.74,5.84,3
sparse_codes_test,5.31,0.07,5.25,5.39,3
val_logreg,0.12,0.01,0.12,0.13,3
val_gboost,2.32,0.20,2.18,2.55,3
val_svm,0.24,0.03,0.20,0.26,3
val_rf,0.93,0.11,0.80,1.02,3
test_logreg,0.10,0.01,0.09,0.12,3
test_gboost,2.39,0.19,2.17,2.51,3
test_svm,0.21,0.02,0.20,0.23,3
test_rf,0.87,0.08,0.81,0.96,3
seed_total,695.14,42.75,651.82,737.30,3
