phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.54,0.14,11.43,11.75,5
partition,0.03,0.00,0.03,0.04,5
fit_wl_fddl,5826.54,173.95,5671.20,6125.56,5
sparse_codes_train,4.87,0.40,4.51,5.55,5
sparse_codes_val,3.95,0.14,3.77,4.09,5
sparse_codes_test,3.61,0.18,3.40,3.87,5
val_logreg,0.73,0.01,0.71,0.74,5
val_gboost,168.77,1.09,167.38,169.99,5
val_svm,39.79,4.56,33.75,46.46,5
val_rf,6.15,0.18,5.88,6.35,5
test_logreg,0.72,0.01,0.71,0.73,5
test_gboost,168.53,1.08,167.19,170.04,5
test_svm,39.27,4.49,33.19,45.81,5
test_rf,6.16,0.16,5.94,6.35,5
src_embeddings,3.12,0.16,2.94,3.39,5
src_pure,2.66,0.10,2.51,2.78,5
src_fddl,2.73,0.13,2.51,2.83,5
seed_total,6289.19,170.59,6146.45,6585.40,5
