master_seed,data_load,partition,fit_wl_fddl,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
58,11.747,0.037,5784.312,4.739,4.095,3.533,0.728,167.909,33.752,6.262,0.719,168.013,33.188,6.278,3.066,2.705,2.799,6233.918
59,11.464,0.032,5792.549,4.692,3.901,3.548,0.706,169.423,39.003,5.878,0.711,168.313,39.741,5.937,3.089,2.638,2.728,6254.373
41,11.429,0.033,5671.204,4.514,3.772,3.397,0.732,169.151,46.463,6.091,0.724,169.065,45.807,6.083,2.938,2.507,2.506,6146.450
28,11.445,0.033,5759.084,5.551,3.876,3.874,0.743,169.991,40.721,6.153,0.730,170.042,38.572,6.158,3.387,2.644,2.764,6225.786
100,11.627,0.034,6125.565,4.872,4.094,3.683,0.717,167.380,39.001,6.351,0.707,167.194,39.056,6.348,3.139,2.781,2.832,6585.399
