phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.94,0.51,11.59,12.30,2
partition,0.04,0.00,0.03,0.04,2
fit_encoder_dict,651.90,7.15,646.85,656.95,2
sparse_codes_train,4.32,0.19,4.18,4.45,2
sparse_codes_val,3.26,0.21,3.11,3.41,2
sparse_codes_test,3.08,0.09,3.02,3.15,2
val_logreg,0.13,0.01,0.12,0.13,2
val_gboost,39.30,0.40,39.02,39.59,2
val_svm,1.88,0.20,1.74,2.02,2
val_rf,2.69,0.11,2.61,2.77,2
test_logreg,0.11,0.01,0.10,0.12,2
test_gboost,39.02,0.24,38.85,39.19,2
test_svm,1.87,0.19,1.74,2.00,2
test_rf,2.66,0.12,2.58,2.75,2
src_embeddings,3.23,0.03,3.21,3.25,2
src_pure,1.47,0.14,1.37,1.57,2
src_fddl,1.42,0.21,1.27,1.57,2
seed_total,768.33,8.22,762.52,774.14,2
