phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.75,0.05,11.71,11.79,2
partition,0.03,0.00,0.03,0.03,2
fit_encoder_dict,49.28,0.00,49.28,49.29,2
sparse_codes_train,4.61,0.00,4.61,4.61,2
sparse_codes_val,3.91,0.03,3.89,3.93,2
sparse_codes_test,3.46,0.03,3.44,3.48,2
val_logreg,0.04,0.00,0.04,0.04,2
val_gboost,1.47,0.00,1.47,1.47,2
val_svm,0.08,0.00,0.08,0.08,2
val_rf,0.66,0.02,0.65,0.67,2
test_logreg,0.04,0.00,0.04,0.04,2
test_gboost,1.47,0.01,1.47,1.48,2
test_svm,0.08,0.00,0.08,0.08,2
test_rf,0.66,0.02,0.65,0.67,2
seed_total,78.69,0.06,78.65,78.73,2
